id,rssi_data_id,anchor_id,rssi_value,timestamp,X,Y
998,211,A1_H,-91,2/7/2025 10:02,6,0
999,211,A1_V,-69,2/7/2025 10:02,6,0
997,211,A2_H,-67,2/7/2025 10:02,6,0
1002,211,A2_V,-72,2/7/2025 10:02,6,0
1004,211,A3_H,-87,2/7/2025 10:02,6,0
1000,211,A3_V,-69,2/7/2025 10:02,6,0
1001,211,A4_H,-72,2/7/2025 10:02,6,0
1003,211,A4_V,-72,2/7/2025 10:02,6,0
1058,217,A1_H,-74,2/7/2025 10:07,6,0.5
1059,217,A1_V,-77,2/7/2025 10:07,6,0.5
1053,217,A2_H,-62,2/7/2025 10:07,6,0.5
1056,217,A2_V,-51,2/7/2025 10:07,6,0.5
1060,217,A3_H,-71,2/7/2025 10:07,6,0.5
1057,217,A3_V,-60,2/7/2025 10:07,6,0.5
1054,217,A4_H,-56,2/7/2025 10:07,6,0.5
1055,217,A4_V,-64,2/7/2025 10:07,6,0.5
1260,242,A1_H,-72,2/7/2025 10:25,6,1
1255,242,A1_V,-74,2/7/2025 10:25,6,1
1256,242,A2_H,-62,2/7/2025 10:25,6,1
1253,242,A2_V,-71,2/7/2025 10:25,6,1
1258,242,A3_H,-74,2/7/2025 10:25,6,1
1259,242,A3_V,-64,2/7/2025 10:25,6,1
1257,242,A4_H,-59,2/7/2025 10:25,6,1
1254,242,A4_V,-64,2/7/2025 10:25,6,1
1316,249,A1_H,-74,2/7/2025 10:30,6,1.5
1311,249,A1_V,-65,2/7/2025 10:30,6,1.5
1314,249,A2_H,-62,2/7/2025 10:30,6,1.5
1315,249,A2_V,-53,2/7/2025 10:30,6,1.5
1310,249,A3_H,-80,2/7/2025 10:30,6,1.5
1309,249,A3_V,-65,2/7/2025 10:30,6,1.5
1313,249,A4_H,-51,2/7/2025 10:30,6,1.5
1312,249,A4_V,-73,2/7/2025 10:30,6,1.5
1513,274,A1_H,-75,2/7/2025 10:55,6,2
1511,274,A1_V,-63,2/7/2025 10:55,6,2
1516,274,A2_H,-63,2/7/2025 10:55,6,2
1512,274,A2_V,-58,2/7/2025 10:55,6,2
1509,274,A3_H,-71,2/7/2025 10:55,6,2
1510,274,A3_V,-74,2/7/2025 10:55,6,2
1515,274,A4_H,-56,2/7/2025 10:55,6,2
1514,274,A4_V,-68,2/7/2025 10:55,6,2
1565,281,A1_H,-74,2/7/2025 11:01,6,2.5
1567,281,A1_V,-68,2/7/2025 11:01,6,2.5
1572,281,A2_H,-63,2/7/2025 11:01,6,2.5
1569,281,A2_V,-71,2/7/2025 11:01,6,2.5
1566,281,A3_H,-84,2/7/2025 11:01,6,2.5
1571,281,A3_V,-64,2/7/2025 11:01,6,2.5
1568,281,A4_H,-66,2/7/2025 11:01,6,2.5
1570,281,A4_V,-70,2/7/2025 11:01,6,2.5
1772,306,A1_H,-69,2/7/2025 11:26,6,3
1770,306,A1_V,-74,2/7/2025 11:26,6,3
1771,306,A2_H,-62,2/7/2025 11:26,6,3
1768,306,A2_V,-57,2/7/2025 11:26,6,3
1767,306,A3_H,-74,2/7/2025 11:26,6,3
1765,306,A3_V,-73,2/7/2025 11:26,6,3
1769,306,A4_H,-52,2/7/2025 11:26,6,3
1766,306,A4_V,-77,2/7/2025 11:26,6,3
1826,313,A1_H,-76,2/7/2025 11:33,6,3.5
1823,313,A1_V,-75,2/7/2025 11:33,6,3.5
1821,313,A2_H,-60,2/7/2025 11:33,6,3.5
1828,313,A2_V,-56,2/7/2025 11:33,6,3.5
1825,313,A3_H,-74,2/7/2025 11:33,6,3.5
1822,313,A3_V,-69,2/7/2025 11:33,6,3.5
1824,313,A4_H,-69,2/7/2025 11:33,6,3.5
1827,313,A4_V,-70,2/7/2025 11:33,6,3.5
