id,rssi_data_id,anchor_id,rssi_value,timestamp,X,Y
909,200,A2_V,-65,2/7/2025 9:55,0.5,0
910,200,A4_V,-75,2/7/2025 9:55,0.5,0
911,200,A2_H,-69,2/7/2025 9:55,0.5,0
912,200,A3_H,-65,2/7/2025 9:55,0.5,0
913,200,A3_V,-53,2/7/2025 9:55,0.5,0
914,200,A1_H,-56,2/7/2025 9:55,0.5,0
915,200,A4_H,-70,2/7/2025 9:55,0.5,0
916,200,A1_V,-61,2/7/2025 9:55,0.5,0
917,201,A4_V,-68,2/7/2025 9:56,1,0
918,201,A4_H,-68,2/7/2025 9:56,1,0
919,201,A2_V,-71,2/7/2025 9:56,1,0
920,201,A1_V,-62,2/7/2025 9:56,1,0
921,201,A1_H,-61,2/7/2025 9:56,1,0
922,201,A2_H,-92,2/7/2025 9:56,1,0
923,201,A3_H,-62,2/7/2025 9:56,1,0
924,201,A3_V,-57,2/7/2025 9:56,1,0
925,202,A3_V,-58,2/7/2025 9:56,1.5,0
926,202,A1_V,-68,2/7/2025 9:56,1.5,0
927,202,A2_V,-71,2/7/2025 9:56,1.5,0
928,202,A1_H,-68,2/7/2025 9:56,1.5,0
929,202,A4_V,-76,2/7/2025 9:56,1.5,0
930,202,A4_H,-70,2/7/2025 9:56,1.5,0
931,202,A3_H,-63,2/7/2025 9:56,1.5,0
932,202,A2_H,-77,2/7/2025 9:56,1.5,0
933,203,A3_H,-70,2/7/2025 9:57,2,0
934,203,A4_V,-74,2/7/2025 9:57,2,0
935,203,A1_V,-68,2/7/2025 9:57,2,0
936,203,A3_V,-71,2/7/2025 9:57,2,0
937,203,A1_H,-77,2/7/2025 9:57,2,0
938,203,A2_V,-62,2/7/2025 9:57,2,0
939,203,A4_H,-66,2/7/2025 9:57,2,0
940,203,A2_H,-63,2/7/2025 9:57,2,0
941,204,A1_H,-73,2/7/2025 9:57,2.5,0
942,204,A4_H,-66,2/7/2025 9:57,2.5,0
943,204,A3_H,-81,2/7/2025 9:57,2.5,0
944,204,A2_H,-61,2/7/2025 9:58,2.5,0
945,204,A2_V,-57,2/7/2025 9:58,2.5,0
946,204,A4_V,-73,2/7/2025 9:58,2.5,0
947,204,A3_V,-67,2/7/2025 9:58,2.5,0
948,204,A1_V,-61,2/7/2025 9:58,2.5,0
949,205,A1_V,-84,2/7/2025 9:58,3,0
950,205,A3_H,-75,2/7/2025 9:58,3,0
951,205,A4_V,-67,2/7/2025 9:58,3,0
952,205,A1_H,-73,2/7/2025 9:58,3,0
953,205,A4_H,-61,2/7/2025 9:58,3,0
954,205,A2_H,-65,2/7/2025 9:58,3,0
955,205,A2_V,-56,2/7/2025 9:58,3,0
956,205,A3_V,-73,2/7/2025 9:58,3,0
957,206,A1_V,-65,2/7/2025 9:59,3.5,0
958,206,A3_H,-72,2/7/2025 9:59,3.5,0
959,206,A4_H,-61,2/7/2025 9:59,3.5,0
960,206,A2_V,-55,2/7/2025 9:59,3.5,0
961,206,A2_H,-62,2/7/2025 9:59,3.5,0
962,206,A3_V,-66,2/7/2025 9:59,3.5,0
963,206,A1_H,-77,2/7/2025 9:59,3.5,0
964,206,A4_V,-66,2/7/2025 9:59,3.5,0
965,207,A2_V,-60,2/7/2025 10:00,4,0
966,207,A4_H,-67,2/7/2025 10:00,4,0
967,207,A1_V,-75,2/7/2025 10:00,4,0
968,207,A1_H,-76,2/7/2025 10:00,4,0
969,207,A3_V,-69,2/7/2025 10:00,4,0
970,207,A3_H,-73,2/7/2025 10:00,4,0
971,207,A2_H,-63,2/7/2025 10:00,4,0
972,207,A4_V,-69,2/7/2025 10:00,4,0
973,208,A2_H,-67,2/7/2025 10:00,4.5,0
974,208,A3_H,-72,2/7/2025 10:00,4.5,0
975,208,A1_V,-73,2/7/2025 10:00,4.5,0
976,208,A4_H,-75,2/7/2025 10:00,4.5,0
977,208,A3_V,-76,2/7/2025 10:00,4.5,0
978,208,A1_H,-77,2/7/2025 10:00,4.5,0
979,208,A2_V,-66,2/7/2025 10:00,4.5,0
980,208,A4_V,-72,2/7/2025 10:00,4.5,0
981,209,A2_H,-67,2/7/2025 10:01,5,0
982,209,A3_V,-65,2/7/2025 10:01,5,0
983,209,A1_V,-69,2/7/2025 10:01,5,0
984,209,A1_H,-79,2/7/2025 10:01,5,0
985,209,A4_V,-71,2/7/2025 10:01,5,0
986,209,A2_V,-71,2/7/2025 10:01,5,0
987,209,A3_H,-74,2/7/2025 10:01,5,0
988,209,A4_H,-60,2/7/2025 10:01,5,0
989,210,A4_V,-73,2/7/2025 10:01,5.5,0
990,210,A2_V,-70,2/7/2025 10:01,5.5,0
991,210,A4_H,-67,2/7/2025 10:01,5.5,0
992,210,A1_V,-79,2/7/2025 10:01,5.5,0
993,210,A3_H,-72,2/7/2025 10:01,5.5,0
994,210,A1_H,-86,2/7/2025 10:01,5.5,0
995,210,A2_H,-82,2/7/2025 10:01,5.5,0
996,210,A3_V,-76,2/7/2025 10:02,5.5,0
997,211,A2_H,-67,2/7/2025 10:02,6,0
998,211,A1_H,-91,2/7/2025 10:02,6,0
999,211,A1_V,-69,2/7/2025 10:02,6,0
1000,211,A3_V,-69,2/7/2025 10:02,6,0
1001,211,A4_H,-72,2/7/2025 10:02,6,0
1002,211,A2_V,-72,2/7/2025 10:02,6,0
1003,211,A4_V,-72,2/7/2025 10:02,6,0
1004,211,A3_H,-87,2/7/2025 10:02,6,0
1005,212,A2_V,-60,2/7/2025 10:03,6.5,0
1006,212,A4_V,-60,2/7/2025 10:03,6.5,0
1007,212,A1_H,-88,2/7/2025 10:03,6.5,0
1008,212,A3_H,-78,2/7/2025 10:03,6.5,0
1009,212,A1_V,-66,2/7/2025 10:03,6.5,0
1010,212,A4_H,-61,2/7/2025 10:03,6.5,0
1011,212,A3_V,-69,2/7/2025 10:03,6.5,0
1012,212,A2_H,-66,2/7/2025 10:03,6.5,0
1013,213,A4_V,-57,2/7/2025 10:04,7,0
1014,213,A4_H,-53,2/7/2025 10:04,7,0
1015,213,A1_H,-76,2/7/2025 10:04,7,0
1016,213,A3_H,-73,2/7/2025 10:04,7,0
1017,213,A3_V,-76,2/7/2025 10:04,7,0
1018,213,A2_H,-71,2/7/2025 10:04,7,0
1019,213,A1_V,-67,2/7/2025 10:04,7,0
1020,213,A2_V,-59,2/7/2025 10:04,7,0
1029,214,A2_H,-66,2/7/2025 10:05,7.5,0.5
1030,214,A2_V,-50,2/7/2025 10:05,7.5,0.5
1031,214,A1_H,-72,2/7/2025 10:05,7.5,0.5
1032,214,A1_V,-69,2/7/2025 10:05,7.5,0.5
1033,214,A3_H,-76,2/7/2025 10:05,7.5,0.5
1034,214,A4_H,-48,2/7/2025 10:05,7.5,0.5
1035,214,A3_V,-70,2/7/2025 10:05,7.5,0.5
1036,214,A4_V,-73,2/7/2025 10:05,7.5,0.5
1037,215,A2_H,-70,2/7/2025 10:06,7,0.5
1038,215,A3_V,-69,2/7/2025 10:06,7,0.5
1039,215,A4_H,-48,2/7/2025 10:06,7,0.5
1040,215,A1_H,-89,2/7/2025 10:06,7,0.5
1041,215,A1_V,-70,2/7/2025 10:06,7,0.5
1042,215,A2_V,-55,2/7/2025 10:06,7,0.5
1043,215,A3_H,-71,2/7/2025 10:06,7,0.5
1044,215,A4_V,-60,2/7/2025 10:06,7,0.5
1045,216,A4_H,-60,2/7/2025 10:07,6.5,0.5
1046,216,A1_V,-78,2/7/2025 10:07,6.5,0.5
1047,216,A1_H,-72,2/7/2025 10:07,6.5,0.5
1048,216,A3_H,-76,2/7/2025 10:07,6.5,0.5
1049,216,A3_V,-79,2/7/2025 10:07,6.5,0.5
1050,216,A2_V,-52,2/7/2025 10:07,6.5,0.5
1051,216,A2_H,-75,2/7/2025 10:07,6.5,0.5
1052,216,A4_V,-69,2/7/2025 10:07,6.5,0.5
1053,217,A2_H,-62,2/7/2025 10:07,6,0.5
1054,217,A4_H,-56,2/7/2025 10:07,6,0.5
1055,217,A4_V,-64,2/7/2025 10:07,6,0.5
1056,217,A2_V,-51,2/7/2025 10:07,6,0.5
1057,217,A3_V,-60,2/7/2025 10:07,6,0.5
1058,217,A1_H,-74,2/7/2025 10:07,6,0.5
1059,217,A1_V,-77,2/7/2025 10:07,6,0.5
1060,217,A3_H,-71,2/7/2025 10:07,6,0.5
1061,218,A2_H,-69,2/7/2025 10:08,5.5,0.5
1062,218,A3_V,-75,2/7/2025 10:08,5.5,0.5
1063,218,A4_H,-67,2/7/2025 10:08,5.5,0.5
1064,218,A2_V,-51,2/7/2025 10:08,5.5,0.5
1065,218,A3_H,-80,2/7/2025 10:08,5.5,0.5
1066,218,A1_V,-76,2/7/2025 10:08,5.5,0.5
1067,218,A4_V,-56,2/7/2025 10:08,5.5,0.5
1068,218,A1_H,-74,2/7/2025 10:08,5.5,0.5
1069,219,A2_H,-66,2/7/2025 10:09,5,0.5
1070,219,A1_V,-68,2/7/2025 10:09,5,0.5
1071,219,A2_V,-54,2/7/2025 10:09,5,0.5
1072,219,A4_H,-57,2/7/2025 10:09,5,0.5
1073,219,A3_H,-76,2/7/2025 10:09,5,0.5
1074,219,A3_V,-67,2/7/2025 10:09,5,0.5
1075,219,A4_V,-73,2/7/2025 10:09,5,0.5
1076,219,A1_H,-71,2/7/2025 10:09,5,0.5
1077,220,A1_H,-76,2/7/2025 10:10,4.5,0.5
1078,220,A2_V,-55,2/7/2025 10:10,4.5,0.5
1079,220,A4_V,-63,2/7/2025 10:10,4.5,0.5
1080,220,A4_H,-62,2/7/2025 10:10,4.5,0.5
1081,220,A3_H,-83,2/7/2025 10:10,4.5,0.5
1082,220,A3_V,-57,2/7/2025 10:10,4.5,0.5
1083,220,A2_H,-67,2/7/2025 10:10,4.5,0.5
1084,220,A1_V,-70,2/7/2025 10:10,4.5,0.5
1085,221,A2_H,-56,2/7/2025 10:10,4,0.5
1086,221,A3_V,-59,2/7/2025 10:10,4,0.5
1087,221,A4_H,-54,2/7/2025 10:10,4,0.5
1088,221,A1_H,-80,2/7/2025 10:10,4,0.5
1089,221,A1_V,-72,2/7/2025 10:10,4,0.5
1090,221,A2_V,-57,2/7/2025 10:10,4,0.5
1091,221,A4_V,-59,2/7/2025 10:10,4,0.5
1092,221,A3_H,-65,2/7/2025 10:10,4,0.5
1093,222,A4_V,-66,2/7/2025 10:11,3.5,0.5
1094,222,A2_V,-62,2/7/2025 10:11,3.5,0.5
1095,222,A2_H,-63,2/7/2025 10:11,3.5,0.5
1096,222,A1_H,-81,2/7/2025 10:11,3.5,0.5
1097,222,A3_H,-67,2/7/2025 10:11,3.5,0.5
1098,222,A3_V,-64,2/7/2025 10:11,3.5,0.5
1099,222,A1_V,-83,2/7/2025 10:11,3.5,0.5
1100,222,A4_H,-63,2/7/2025 10:11,3.5,0.5
1101,223,A1_V,-74,2/7/2025 10:12,3,0.5
1102,223,A2_V,-55,2/7/2025 10:12,3,0.5
1103,223,A4_V,-69,2/7/2025 10:12,3,0.5
1104,223,A1_H,-83,2/7/2025 10:12,3,0.5
1105,223,A3_H,-69,2/7/2025 10:12,3,0.5
1106,223,A4_H,-65,2/7/2025 10:12,3,0.5
1107,223,A3_V,-64,2/7/2025 10:12,3,0.5
1108,223,A2_H,-74,2/7/2025 10:12,3,0.5
1109,224,A4_H,-66,2/7/2025 10:13,2.5,0.5
1110,224,A1_H,-76,2/7/2025 10:13,2.5,0.5
1111,224,A3_V,-68,2/7/2025 10:13,2.5,0.5
1112,224,A2_V,-62,2/7/2025 10:13,2.5,0.5
1113,224,A4_V,-76,2/7/2025 10:13,2.5,0.5
1114,224,A1_V,-67,2/7/2025 10:13,2.5,0.5
1115,224,A2_H,-61,2/7/2025 10:13,2.5,0.5
1116,224,A3_H,-65,2/7/2025 10:13,2.5,0.5
1117,225,A3_H,-75,2/7/2025 10:13,2,0.5
1118,225,A2_V,-68,2/7/2025 10:13,2,0.5
1119,225,A4_H,-74,2/7/2025 10:13,2,0.5
1120,225,A3_V,-63,2/7/2025 10:13,2,0.5
1121,225,A4_V,-74,2/7/2025 10:13,2,0.5
1122,225,A1_V,-61,2/7/2025 10:13,2,0.5
1123,225,A1_H,-69,2/7/2025 10:13,2,0.5
1124,225,A2_H,-61,2/7/2025 10:13,2,0.5
1125,226,A2_H,-68,2/7/2025 10:14,1.5,0.5
1126,226,A3_V,-60,2/7/2025 10:14,1.5,0.5
1127,226,A4_V,-67,2/7/2025 10:14,1.5,0.5
1128,226,A2_V,-69,2/7/2025 10:14,1.5,0.5
1129,226,A1_H,-71,2/7/2025 10:14,1.5,0.5
1130,226,A4_H,-75,2/7/2025 10:14,1.5,0.5
1131,226,A1_V,-67,2/7/2025 10:14,1.5,0.5
1132,226,A3_H,-65,2/7/2025 10:14,1.5,0.5
1133,227,A2_V,-75,2/7/2025 10:15,1,0.5
1134,227,A3_V,-62,2/7/2025 10:15,1,0.5
1135,227,A2_H,-67,2/7/2025 10:15,1,0.5
1136,227,A3_H,-69,2/7/2025 10:15,1,0.5
1137,227,A1_H,-67,2/7/2025 10:15,1,0.5
1138,227,A4_H,-69,2/7/2025 10:15,1,0.5
1139,227,A4_V,-75,2/7/2025 10:15,1,0.5
1140,227,A1_V,-64,2/7/2025 10:15,1,0.5
1141,228,A3_V,-55,2/7/2025 10:16,0.5,0.5
1142,228,A2_H,-70,2/7/2025 10:16,0.5,0.5
1143,228,A1_H,-66,2/7/2025 10:16,0.5,0.5
1144,228,A4_H,-68,2/7/2025 10:16,0.5,0.5
1145,228,A2_V,-70,2/7/2025 10:16,0.5,0.5
1146,228,A1_V,-66,2/7/2025 10:16,0.5,0.5
1147,228,A4_V,-69,2/7/2025 10:16,0.5,0.5
1148,228,A3_H,-64,2/7/2025 10:16,0.5,0.5
1149,229,A4_V,-71,2/7/2025 10:17,0,0.5
1150,229,A2_H,-77,2/7/2025 10:17,0,0.5
1151,229,A3_V,-43,2/7/2025 10:17,0,0.5
1152,229,A1_V,-60,2/7/2025 10:17,0,0.5
1153,229,A2_V,-61,2/7/2025 10:17,0,0.5
1154,229,A1_H,-64,2/7/2025 10:17,0,0.5
1155,229,A3_H,-61,2/7/2025 10:17,0,0.5
1156,229,A4_H,-63,2/7/2025 10:17,0,0.5
1157,230,A3_V,-58,2/7/2025 10:18,0,1
1158,230,A2_H,-85,2/7/2025 10:18,0,1
1159,230,A1_H,-75,2/7/2025 10:18,0,1
1160,230,A2_V,-76,2/7/2025 10:18,0,1
1161,230,A4_H,-69,2/7/2025 10:18,0,1
1162,230,A1_V,-61,2/7/2025 10:18,0,1
1163,230,A4_V,-85,2/7/2025 10:18,0,1
1164,230,A3_H,-68,2/7/2025 10:18,0,1
1165,231,A3_H,-65,2/7/2025 10:19,0.5,1
1166,231,A2_V,-69,2/7/2025 10:19,0.5,1
1167,231,A1_H,-66,2/7/2025 10:19,0.5,1
1168,231,A4_H,-68,2/7/2025 10:19,0.5,1
1169,231,A3_V,-72,2/7/2025 10:19,0.5,1
1170,231,A1_V,-79,2/7/2025 10:19,0.5,1
1171,231,A2_H,-84,2/7/2025 10:19,0.5,1
1172,231,A4_V,-75,2/7/2025 10:19,0.5,1
1173,232,A3_V,-71,2/7/2025 10:19,1,1
1174,232,A1_H,-72,2/7/2025 10:19,1,1
1175,232,A4_V,-67,2/7/2025 10:19,1,1
1176,232,A3_H,-62,2/7/2025 10:19,1,1
1177,232,A4_H,-65,2/7/2025 10:19,1,1
